,recruitType,year,ranking,name,school,committedTo,position,height,weight,stars,rating,city,stateProvince,country
88,HighSchool,2002,148,Glenn Sharpe,Miami Carol City,Miami,CB,71,180,4,0.9,Opa Locka,FL,NA
89,HighSchool,2002,149,Stan White,Gilman,Ohio State,OLB,75,225,4,0.9,Baltimore,MD,NA
90,HighSchool,2002,150,Thomas Clayton,Mount Vernon,Florida State,RB,72,197,4,0.9,Alexandria,VA,NA
91,HighSchool,2002,151,DeAngelo Williams,Wynne,Memphis,APB,68,185,4,0.9,Wynne,AR,NA
92,HighSchool,2002,152,Jejuan Rankins,Bertie,Oklahoma,WR,72,175,4,0.9,Windsor,NC,NA
93,HighSchool,2002,153,Sam Williams,Greenwood,Middle Tennessee,DUAL,75,185,4,0.9,Greenwood,SC,NA
94,HighSchool,2002,154,Dedrick Harrington,Mexico,Missouri,ATH,76,225,4,0.9,Mexico,MO,NA
95,HighSchool,2002,156,Mario Raley,Independence,Georgia,WR,73,185,4,0.9,Charlotte,NC,NA
96,HighSchool,2002,157,Joe Tereshinski,Athens Academy,Georgia,PRO,75,205,4,0.9,Athens,GA,NA
97,HighSchool,2002,158,Kelvin Grant,Camden,Clemson,WR,74,205,4,0.9,Camden,SC,NA
98,HighSchool,2002,160,Vernon Grant,Duncanville,Oklahoma State,CB,70,173,4,0.9,Duncanville,TX,NA
99,HighSchool,2002,161,E.J. Underwood,Hamilton,Ohio State,CB,73,175,4,0.9,Hamilton,OH,NA
100,HighSchool,2002,162,Anthony Wright,Klein Forest,Colorado,WR,75,204,4,0.9,Houston,TX,NA
101,HighSchool,2002,165,George Cooper,Westerville North,Georgia Tech,TE,77,250,4,0.9,Westerville,OH,NA
102,HighSchool,2002,166,Paul Mosley,Anderson,Baylor,ATH,75,217,4,0.9,Austin,TX,NA
103,HighSchool,2002,167,Aaron Ross,John Tyler,Texas,CB,73,180,4,0.9,Tyler,TX,NA
104,HighSchool,2002,168,Chris Herring,South Panola,Ole Miss,ILB,74,257,4,0.9,Batesville,MS,NA
105,HighSchool,2002,169,Jesse Taylor,Chaminade,Washington State,TE,76,238,4,0.9,West Hills,CA,NA
106,HighSchool,2002,171,Justin Bruce,Pepperell,Auburn,TE,80,250,4,0.9,Lindale,GA,NA
107,HighSchool,2002,172,Anthony Fasano,Verona,Notre Dame,TE,75,230,4,0.9,Verona,NJ,NA
108,HighSchool,2002,174,Jeremy Ruffin,Meridian,Ole Miss,OLB,74,205,4,0.9,Meridian,MS,NA
109,HighSchool,2002,175,Brian Calhoun,Oak Creek,Colorado,RB,71,190,4,0.9,Oak Creek,WI,NA
110,HighSchool,2002,177,Reshard Dudley,Marianna,Georgia,RB,70,208,4,0.9,Marianna,FL,NA
111,HighSchool,2002,179,R.J. Coleman,Robert C. Byrd,Ohio State,TE,78,260,4,0.9,Clarksburg,WV,NA
112,HighSchool,2002,181,Brian Crum,Camden County,Florida,S,75,210,4,0.9,Kingsland,GA,NA
113,HighSchool,2002,183,Kelvin Flood,Kimball,Texas A&M,OLB,74,210,4,0.9,Dallas,TX,NA
114,HighSchool,2002,185,Michael Williams,Lindale,Texas,OLB,76,225,4,0.9,Lindale,TX,NA
115,HighSchool,2002,186,Randolph Crowder,North Springs,Florida,OLB,74,220,4,0.9,Atlanta,GA,NA
116,HighSchool,2002,187,Marc Guillon,Miramonte,Miami,PRO,76,185,4,0.9,Orinda,CA,NA
117,HighSchool,2002,188,Drew Olson,Piedmont Hills,UCLA,PRO,74,190,4,0.9,San Jose,CA,NA
118,HighSchool,2002,191,Greg Threat,Lincoln,Miami,CB,73,185,4,0.9,Tallahassee,FL,NA
119,HighSchool,2002,192,J.R. Mounts,Key West,Miami,RB,71,215,4,0.9,Key West,FL,NA
120,HighSchool,2002,193,Nurahda Manning,Bay City,Texas A&M,ILB,75,235,4,0.9,Bay City,TX,NA
121,HighSchool,2002,194,Brandon Kirsch,Cedar Crest,Purdue,PRO,75,190,4,0.9,Lebanon,PA,NA
122,HighSchool,2002,195,Trestin George,Berkeley,San José State,CB,69,190,4,0.9,Berkeley,CA,NA
123,HighSchool,2002,197,William Beckford,Glades Central,Rutgers,OLB,73,215,4,0.9,Belle Glade,FL,NA
124,HighSchool,2002,202,Dominique Byrd,Breck School,USC,TE,75,230,4,0.9,Minneapolis,MN,NA
125,HighSchool,2002,203,Moe Thompson,Stratford,South Carolina,TE,76,255,4,0.9,Goose Creek,SC,NA
126,HighSchool,2002,206,Quinlan Germany,All Saints Episcopal,Texas A&M,TE,76,250,4,0.9,Fort Worth,TX,NA
127,HighSchool,2002,207,Jon Clark,Madison Senior,Houston,TE,77,215,4,0.9,Rexburg,ID,NA
128,HighSchool,2002,209,Vickiel Vaughn,Plano West,Arkansas,S,73,187,4,0.9,Plano,TX,NA
129,HighSchool,2002,210,Brian Mattes,Wyoming Valley West,Notre Dame,TE,78,245,4,0.9,Plymouth,PA,NA
130,HighSchool,2002,211,Wyatt Sexton,Tallahassee Leon,Florida State,PRO,75,185,4,0.9,Tallahassee,FL,NA
131,HighSchool,2002,212,Cedric Washington,Bryan,Arkansas,DUAL,72,183,4,0.9,Bryan,TX,NA
132,HighSchool,2002,213,Abraham Brown,Booker,Louisville,S,76,205,4,0.9,Sarasota,FL,NA
133,HighSchool,2002,214,Matt Traverso,Christian Brothers,Stanford,TE,78,245,4,0.9,Sacramento,CA,NA
134,HighSchool,2002,215,Steve Breaston,Woodland Hills,Michigan,ATH,74,170,4,0.9,Pittsburgh,PA,NA
135,HighSchool,2002,216,Nate Schiccatano,Southern Columbia,Notre Dame,RB,75,215,4,0.9,Catawissa,PA,NA
136,HighSchool,2002,218,Sammy Joseph,Archbishop Shaw,Colorado,CB,73,185,4,0.9,Marrero,LA,NA
137,HighSchool,2002,219,Dallas Sartz,Granite Bay,USC,OLB,77,215,4,0.9,Granite Bay,CA,NA
138,HighSchool,2002,221,Brandon Snow,Newark,Penn State,FB,74,225,4,0.9,Newark,DE,NA
139,HighSchool,2002,222,Elijah Dukes,Hillsborough,NC State,OLB,75,225,4,0.9,Tampa,FL,NA
140,HighSchool,2002,223,Carl Tabb,Huron,Michigan,WR,74,180,4,0.9,Ann Arbor,MI,NA
141,HighSchool,2002,224,Marcus Hamilton,Centreville,Virginia,CB,73,180,4,0.9,Clifton,VA,NA
142,HighSchool,2002,225,Jemalle Cornelius,Fort Meade,Florida,ATH,73,175,4,0.9,Fort Meade,FL,NA
143,HighSchool,2002,227,Brandon Cox,Hewitt-Trussville,Auburn,PRO,75,190,4,0.9,Trussville,AL,NA
144,HighSchool,2002,229,L'Tydrick Riley,Crockett,Texas A&M,ATH,76,220,4,0.9,Crockett,TX,NA
145,HighSchool,2002,230,I'Lario Vital,McClymonds,San José State,S,71,207,4,0.9,Oakland,CA,NA
146,HighSchool,2002,231,Sam McGrew,Wakulla,Florida State,ILB,75,220,4,0.9,Crawfordville,FL,NA
147,HighSchool,2002,232,Justin Miller,Owensboro,Clemson,CB,72,180,4,0.9,Owensboro,KY,NA
148,HighSchool,2002,233,Buster Davis,Mainland,Florida State,ILB,71,228,4,0.9,Daytona Beach,FL,NA
149,HighSchool,2002,234,Roy Hall,Brush,Ohio State,WR,75,200,4,0.9,Cleveland,OH,NA
150,HighSchool,2002,235,Joe Newton,Roseburg,Oregon State,TE,79,235,4,0.9,Roseburg,OR,NA
151,HighSchool,2002,236,Brandon Williams,Shaw,Auburn,CB,73,196,4,0.9,Columbus,GA,NA
152,HighSchool,2002,237,Skyler Green,L.w. Higgins,LSU,APB,69,192,4,0.9,Marrero,LA,NA
153,HighSchool,2002,238,Anthony Johnson,Byrnes,UAB,DUAL,70,188,4,0.9,Duncan,SC,NA
154,HighSchool,2002,240,Ben Patrick,Jenkins,Duke,TE,76,260,4,0.9,Savannah,GA,NA
155,HighSchool,2002,241,Demario Minter,Stephenson,Georgia,CB,71,180,4,0.9,Stone Mountain,GA,NA
156,HighSchool,2002,242,William Blackmon,Bishop Hendricken,Boston College,APB,72,185,4,0.9,Warwick,RI,NA
157,HighSchool,2002,243,Terry Richardson,Centennial,Arizona State,ATH,73,190,4,0.9,Corona,CA,NA
158,HighSchool,2002,244,Scott White,Mission Bay,Washington,ILB,75,230,4,0.9,San Diego,CA,NA
159,HighSchool,2002,246,Brandon Ala,Kamehameha,Washington,ILB,75,225,4,0.9,Honolulu,HI,NA
160,HighSchool,2002,247,Drew Stanton,Harrison,Michigan State,PRO,76,215,4,0.9,Farmington,MI,NA
161,HighSchool,2002,248,David Thomas,Frenship,Texas,TE,75,210,4,0.9,Wolfforth,TX,NA
162,HighSchool,2002,249,Quinton McCoy,Valley Christian,Michigan,ATH,71,175,4,0.9,Chandler,AZ,NA
163,HighSchool,2002,253,Blair Irvin,Patterson,LSU,ATH,72,170,4,0.9,Patterson,LA,NA
164,HighSchool,2002,254,Antwuan Smith,Buchanan,UCLA,WR,72,180,4,0.9,Clovis,CA,NA
165,HighSchool,2002,255,Alex Lewis,Morrisville Middle School,Wisconsin,ILB,73,235,4,0.9,Morrisville,NY,NA
166,HighSchool,2002,256,Omar Gaither,Myers Park,Tennessee,OLB,74,210,4,0.9,Charlotte,NC,NA
167,HighSchool,2002,258,Justin London,Northside,UCLA,OLB,74,218,4,0.9,Roanoke,VA,NA
168,HighSchool,2002,259,Chris Hollis,Hinkley,Colorado,ILB,73,220,4,0.9,Aurora,CO,NA
169,HighSchool,2002,260,Matt Moore,Hart,UCLA,PRO,76,175,4,0.9,Newhall,CA,NA
170,HighSchool,2002,261,Idris Moss,Eisenhower Senior,UCLA,ATH,72,170,4,0.9,Rialto,CA,NA
171,HighSchool,2002,263,Blake Mackey,Bakersfield,Colorado,WR,75,185,4,0.8988,Bakersfield,CA,NA
172,HighSchool,2002,265,Biren Ealy,Cy Falls,Arizona,WR,76,200,3,0.8667,Houston,TX,NA
173,HighSchool,2002,266,Lucas Jackson,West Monroe,Arkansas,ILB,73,220,3,0.8667,West Monroe,LA,NA
174,HighSchool,2002,267,Matt Herian,Pierce Jr/sr,Nebraska,TE,77,220,3,0.8667,Pierce,NE,NA
175,HighSchool,2002,271,Mike Jefferson,Parkland,Arizona,WR,75,205,3,0.8667,El Paso,TX,NA
176,HighSchool,2002,272,Aryhel Freeman,Tri-cities,South Carolina,DUAL,74,200,3,0.8667,Atlanta,GA,NA
177,HighSchool,2002,274,Marcus Wimbush,Washington Math Science Tech Pcs,Maryland,S,71,195,3,0.8667,Washington,DC,NA
178,HighSchool,2002,275,Ryan O'Hara,John Muir,Arizona,DUAL,78,193,3,0.8667,Pasadena,CA,NA
179,HighSchool,2002,276,Frederick Collins,La Quinta,San Diego State,RB,72,180,3,0.8667,La Quinta,CA,NA
180,HighSchool,2002,277,Wayne Chambers,Grandview,Oklahoma,ILB,75,235,3,0.8667,Grandview,MO,NA
181,HighSchool,2002,278,Lawrence Pinson,Jenks,Oklahoma State,ILB,74,246,3,0.8667,Jenks,OK,NA
182,HighSchool,2002,279,Michael Cooper,Screven County,Georgia,RB,72,215,3,0.8667,Sylvania,GA,NA
183,HighSchool,2002,280,Anthony Arline,James Madison,Baylor,S,74,175,3,0.8667,San Antonio,TX,NA
184,HighSchool,2002,282,Thaddaeus Washington,John Ehret,Colorado,ILB,71,240,3,0.8667,Marrero,LA,NA
185,HighSchool,2002,283,Andre Bailey,Mcclintock,Arizona State,S,75,190,3,0.8667,Tempe,AZ,NA
186,HighSchool,2002,285,Mike Williams,Plant,USC,WR,77,200,3,0.8667,Tampa,FL,NA
187,HighSchool,2002,286,Tyler Littlehales,Boulder,Colorado,WR,76,205,3,0.8667,Boulder,CO,NA
188,HighSchool,2002,288,Steve Buches,Central Catholic,Pittsburgh,TE,76,220,3,0.8667,Pittsburgh,PA,NA
189,HighSchool,2002,289,Curt Dukes,Newton-conover,Nebraska,DUAL,74,210,3,0.8667,Newton,NC,NA
190,HighSchool,2002,290,Cyruss Garrett,Romeoville,Illinois,OLB,75,220,3,0.8667,Romeoville,IL,NA
191,HighSchool,2002,291,Xavier Burgess,Grant Union,UCLA,ILB,74,220,3,0.8667,Sacramento,CA,NA
192,HighSchool,2002,292,Santonio Holmes,Glades Central,Ohio State,WR,71,178,3,0.8667,Belle Glade,FL,NA
193,HighSchool,2002,294,Lorne Sam,Buford,Florida State,ATH,75,180,3,0.8667,Buford,GA,NA
194,HighSchool,2002,295,Josh Hannum,Strath Haven,Penn State,WR,72,170,3,0.8667,Wallingford,PA,NA
195,HighSchool,2002,299,Chansi Stuckey,Northside,Clemson,ATH,72,170,3,0.8667,Warner Robins,GA,NA
196,HighSchool,2002,300,Stevie Hicks,Creighton Preparatory School,Iowa State,RB,74,215,3,0.8667,Omaha,NE,NA
197,HighSchool,2002,301,Jason Spadoni,John Curtis,LSU,S,73,205,3,0.8667,New Orleans,LA,NA
198,HighSchool,2002,303,Lance Evans,Eastern,Virginia,S,77,185,3,0.8667,Voorhees,NJ,NA
199,HighSchool,2002,305,Fletcher Session,John Tyler,Texas Tech,OLB,72,210,3,0.8667,Tyler,TX,NA
200,HighSchool,2002,308,Courtney Lewis,Madison,Texas A&M,APB,71,175,3,0.8667,Houston,TX,NA
201,HighSchool,2002,309,Randy Hill,Mcclintock,Arizona State,RB,73,200,3,0.8667,Tempe,AZ,NA
202,HighSchool,2002,310,Brandon Merriweather,Apopka,Miami,S,73,175,3,0.8667,Apopka,FL,NA
203,HighSchool,2002,311,Kevin Murphy,Forest Hills Central,Michigan,TE,78,230,3,0.8667,Grand Rapids,MI,NA
204,HighSchool,2002,313,Troy Williamson,Silver Bluff,South Carolina,WR,74,200,3,0.8667,Aiken,SC,NA
205,HighSchool,2002,314,J.R. Zwierzynski,Joliet Catholic Academy,Penn State,FB,75,220,3,0.8667,Joliet,IL,NA
206,HighSchool,2002,315,Marcus McCutcheon,Edison,Stanford,CB,72,180,3,0.8667,Huntington Beach,CA,NA
207,HighSchool,2002,317,Matthew Melton,John Tyler,Texas,S,72,190,3,0.8667,Tyler,TX,NA
208,HighSchool,2002,319,Darnell Jenkins,Miami Central,Miami,WR,70,172,3,0.8667,Miami,FL,NA
209,HighSchool,2002,321,Bryan McClendon,Mays,Georgia,ATH,73,180,3,0.8667,Atlanta,GA,NA
210,HighSchool,2002,323,Agim Shabaj,Harrison,Michigan State,WR,70,185,3,0.8667,Farmington,MI,NA
211,HighSchool,2002,324,Joe Garcia,Los Alamitos,UCLA,CB,72,180,3,0.8667,Los Alamitos,CA,NA
212,HighSchool,2002,326,Robert James,Maryvale,Arizona State,S,71,180,3,0.8667,Phoenix,AZ,NA
213,HighSchool,2002,327,Calvin Lowry,Douglas Byrd,Penn State,CB,73,185,3,0.8667,Fayetteville,NC,NA
214,HighSchool,2002,328,Laenar Nixon,Miami Carol City,Oklahoma,TE,75,210,3,0.8667,Opa Locka,FL,NA
215,HighSchool,2002,331,Ashton Watson,Wayne,Michigan State,CB,71,160,3,0.8667,Dayton,OH,NA
216,HighSchool,2002,332,Mark LeFlore,Central,Nebraska,WR,72,185,3,0.8667,Omaha,NE,NA
217,HighSchool,2002,333,Mel Bryant,Muncie Central,Illinois,TE,78,215,3,0.8667,Muncie,IN,NA
218,HighSchool,2002,334,Stefan Orange,Culpeper County,Virginia,CB,73,180,3,0.8667,Culpeper,VA,NA
219,HighSchool,2002,335,Jeremy Van Alstyne,Center Grove,Michigan,ILB,76,235,3,0.8667,Greenwood,IN,NA
220,HighSchool,2002,336,Jeff Francoeur,Parkview,Clemson,S,76,205,3,0.8667,Lilburn,GA,NA
