,year,team,conference,rating,secondOrderWins,sos,offense.rating,offense.success,offense.explosiveness,offense.rushing,offense.passing,offense.standardDowns,offense.passingDowns,offense.runRate,offense.pace,defense.rating,defense.success,defense.explosiveness,defense.rushing,defense.passing,defense.standardDowns,defense.passingDowns,defense.havoc.total,defense.havoc.frontSeven,defense.havoc.db,specialTeams
56,1999,UAB,Conference USA,1.9,NA,NA,2.99E+01,NA,NA,NA,NA,NA,NA,NA,NA,28.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
57,1999,Maryland,Big Ten,1.8,NA,NA,3.05E+01,NA,NA,NA,NA,NA,NA,NA,NA,29.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
58,1999,Houston,American Athletic,1.8,NA,NA,2.63E+01,NA,NA,NA,NA,NA,NA,NA,NA,25.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
59,1999,Arizona,Pac-12,1.4,NA,NA,3.62E+01,NA,NA,NA,NA,NA,NA,NA,NA,35.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
60,1999,Arizona State,Pac-12,0.3,NA,NA,3.03E+01,NA,NA,NA,NA,NA,NA,NA,NA,30.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
61,1999,Oklahoma State,Big 12,0.3,NA,NA,3.01E+01,NA,NA,NA,NA,NA,NA,NA,NA,30.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
62,1999,Hawai'i,Mountain West,0,NA,NA,3.38E+01,NA,NA,NA,NA,NA,NA,NA,NA,34,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
63,1999,Boston College,ACC,0,NA,NA,3.04E+01,NA,NA,NA,NA,NA,NA,NA,NA,31.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
64,1999,UCLA,Pac-12,-0.3,NA,NA,2.99E+01,NA,NA,NA,NA,NA,NA,NA,NA,30.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
65,1999,Missouri,SEC,-0.5,NA,NA,3.29E+01,NA,NA,NA,NA,NA,NA,NA,NA,33.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
66,1999,Iowa State,Big 12,-1,NA,NA,2.88E+01,NA,NA,NA,NA,NA,NA,NA,NA,30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
67,1999,Vanderbilt,SEC,-1,NA,NA,2.70E+01,NA,NA,NA,NA,NA,NA,NA,NA,28.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
68,1999,Western Michigan,Mid-American,-1.2,NA,NA,3.52E+01,NA,NA,NA,NA,NA,NA,NA,NA,35.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
69,1999,LSU,SEC,-1.2,NA,NA,2.59E+01,NA,NA,NA,NA,NA,NA,NA,NA,27.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
70,1999,California,Pac-12,-1.4,NA,NA,2.33E+01,NA,NA,NA,NA,NA,NA,NA,NA,24.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
71,1999,Navy,American Athletic,-2,NA,NA,3.12E+01,NA,NA,NA,NA,NA,NA,NA,NA,33.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
72,1999,Toledo,Mid-American,-2.1,NA,NA,2.93E+01,NA,NA,NA,NA,NA,NA,NA,NA,31.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
73,1999,Rice,Conference USA,-2.4,NA,NA,2.66E+01,NA,NA,NA,NA,NA,NA,NA,NA,29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
74,1999,Miami (OH),Mid-American,-2.7,NA,NA,3.22E+01,NA,NA,NA,NA,NA,NA,NA,NA,34.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
75,1999,North Carolina,ACC,-2.9,NA,NA,2.45E+01,NA,NA,NA,NA,NA,NA,NA,NA,27.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
76,1999,NC State,ACC,-3.2,NA,NA,2.62E+01,NA,NA,NA,NA,NA,NA,NA,NA,29.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
77,1999,Indiana,Big Ten,-4.6,NA,NA,3.57E+01,NA,NA,NA,NA,NA,NA,NA,NA,38.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
78,1999,New Mexico,Mountain West,-5.6,NA,NA,2.68E+01,NA,NA,NA,NA,NA,NA,NA,NA,32.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
79,1999,Washington State,Pac-12,-5.7,NA,NA,2.67E+01,NA,NA,NA,NA,NA,NA,NA,NA,32.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
80,1999,Iowa,Big Ten,-6.7,NA,NA,2.54E+01,NA,NA,NA,NA,NA,NA,NA,NA,31.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
81,1999,Ohio,Mid-American,-6.7,NA,NA,2.78E+01,NA,NA,NA,NA,NA,NA,NA,NA,33.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
82,1999,Temple,American Athletic,-7.1,NA,NA,2.56E+01,NA,NA,NA,NA,NA,NA,NA,NA,32.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
83,1999,Texas Tech,Big 12,-7.4,NA,NA,2.66E+01,NA,NA,NA,NA,NA,NA,NA,NA,33.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
84,1999,Kansas,Big 12,-7.7,NA,NA,2.81E+01,NA,NA,NA,NA,NA,NA,NA,NA,34.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
85,1999,Northwestern,Big Ten,-8,NA,NA,2.04E+01,NA,NA,NA,NA,NA,NA,NA,NA,28.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
86,1999,UTEP,Conference USA,-9.5,NA,NA,3.15E+01,NA,NA,NA,NA,NA,NA,NA,NA,38.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
87,1999,Akron,Mid-American,-9.8,NA,NA,3.08E+01,NA,NA,NA,NA,NA,NA,NA,NA,38.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
88,1999,UCF,American Athletic,-10,NA,NA,3.08E+01,NA,NA,NA,NA,NA,NA,NA,NA,38.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
89,1999,Duke,ACC,-10.2,NA,NA,2.81E+01,NA,NA,NA,NA,NA,NA,NA,NA,36.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
90,1999,Tulane,American Athletic,-10.8,NA,NA,3.32E+01,NA,NA,NA,NA,NA,NA,NA,NA,40.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
91,1999,Army,FBS Independents,-11.1,NA,NA,2.55E+01,NA,NA,NA,NA,NA,NA,NA,NA,34.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
92,1999,New Mexico State,FBS Independents,-11.3,NA,NA,2.63E+01,NA,NA,NA,NA,NA,NA,NA,NA,35.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
93,1999,Utah State,Mountain West,-11.6,NA,NA,2.36E+01,NA,NA,NA,NA,NA,NA,NA,NA,33.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
94,1999,Bowling Green,Mid-American,-11.8,NA,NA,2.90E+01,NA,NA,NA,NA,NA,NA,NA,NA,37.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
95,1999,South Carolina,SEC,-13,NA,NA,1.35E+01,NA,NA,NA,NA,NA,NA,NA,NA,25.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
96,1999,Eastern Michigan,Mid-American,-14.3,NA,NA,2.63E+01,NA,NA,NA,NA,NA,NA,NA,NA,37.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
97,1999,Northern Illinois,Mid-American,-14.5,NA,NA,2.65E+01,NA,NA,NA,NA,NA,NA,NA,NA,37.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
98,1999,SMU,American Athletic,-15,NA,NA,1.65E+01,NA,NA,NA,NA,NA,NA,NA,NA,30.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
99,1999,Arkansas State,Sun Belt,-15.5,NA,NA,2.45E+01,NA,NA,NA,NA,NA,NA,NA,NA,37.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
100,1999,Nevada,Mountain West,-16.2,NA,NA,3.20E+01,NA,NA,NA,NA,NA,NA,NA,NA,43.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
101,1999,Kent State,Mid-American,-17.7,NA,NA,2.47E+01,NA,NA,NA,NA,NA,NA,NA,NA,39.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
102,1999,San José State,Mountain West,-18.1,NA,NA,3.42E+01,NA,NA,NA,NA,NA,NA,NA,NA,45.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
103,1999,Rutgers,Big Ten,-20.1,NA,NA,2.33E+01,NA,NA,NA,NA,NA,NA,NA,NA,39.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
104,1999,UNLV,Mountain West,-20.2,NA,NA,1.67E+01,NA,NA,NA,NA,NA,NA,NA,NA,35.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
105,1999,Central Michigan,Mid-American,-23.6,NA,NA,2.11E+01,NA,NA,NA,NA,NA,NA,NA,NA,40.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
106,1999,Baylor,Big 12,-23.8,NA,NA,1.95E+01,NA,NA,NA,NA,NA,NA,NA,NA,39.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
107,1999,Louisiana Monroe,Sun Belt,-24.1,NA,NA,1.73E+01,NA,NA,NA,NA,NA,NA,NA,NA,38.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
108,1999,Tulsa,American Athletic,-25.5,NA,NA,2.20E+01,NA,NA,NA,NA,NA,NA,NA,NA,42.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
109,1999,North Texas,Conference USA,-29,NA,NA,7.20E+00,NA,NA,NA,NA,NA,NA,NA,NA,35.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
110,1999,Ball State,Mid-American,-29,NA,NA,1.48E+01,NA,NA,NA,NA,NA,NA,NA,NA,40.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
111,1999,Louisiana,Sun Belt,-33.3,NA,NA,1.83E+01,NA,NA,NA,NA,NA,NA,NA,NA,44,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
112,1999,Buffalo,Mid-American,-34.8,NA,NA,1.83E+01,NA,NA,NA,NA,NA,NA,NA,NA,45.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
113,1999,Middle Tennessee,Conference USA,-35.1,NA,NA,1.56E+01,NA,NA,NA,NA,NA,NA,NA,NA,43.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
114,1999,nationalAverages,NA,1.395614,NA,NA,3.13E+01,NA,NA,NA,NA,NA,NA,NA,NA,29.94736842,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
115,2000,Miami,ACC,35.9,NA,NA,4.98E+01,NA,NA,NA,NA,NA,NA,NA,NA,16.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
116,2000,Florida State,ACC,32.9,NA,NA,4.50E+01,NA,NA,NA,NA,NA,NA,NA,NA,13.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
117,2000,Oklahoma,Big 12,30.2,NA,NA,4.49E+01,NA,NA,NA,NA,NA,NA,NA,NA,16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
118,2000,Florida,SEC,28.2,NA,NA,4.63E+01,NA,NA,NA,NA,NA,NA,NA,NA,21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
119,2000,Virginia Tech,ACC,28.2,NA,NA,4.98E+01,NA,NA,NA,NA,NA,NA,NA,NA,25.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
120,2000,Nebraska,Big Ten,24.9,NA,NA,4.83E+01,NA,NA,NA,NA,NA,NA,NA,NA,27.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
121,2000,Oregon State,Pac-12,24.1,NA,NA,4.24E+01,NA,NA,NA,NA,NA,NA,NA,NA,19.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
122,2000,Kansas State,Big 12,22.7,NA,NA,4.46E+01,NA,NA,NA,NA,NA,NA,NA,NA,25.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
123,2000,Washington,Pac-12,21.7,NA,NA,4.25E+01,NA,NA,NA,NA,NA,NA,NA,NA,23.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
124,2000,Michigan,Big Ten,19.1,NA,NA,4.01E+01,NA,NA,NA,NA,NA,NA,NA,NA,23.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
125,2000,Texas A&M,SEC,18.3,NA,NA,3.80E+01,NA,NA,NA,NA,NA,NA,NA,NA,21.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
126,2000,Ohio State,Big Ten,17.5,NA,NA,3.57E+01,NA,NA,NA,NA,NA,NA,NA,NA,19.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
127,2000,Toledo,Mid-American,17,NA,NA,3.56E+01,NA,NA,NA,NA,NA,NA,NA,NA,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
128,2000,South Carolina,SEC,16.6,NA,NA,3.05E+01,NA,NA,NA,NA,NA,NA,NA,NA,15.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
129,2000,Mississippi State,SEC,16.3,NA,NA,4.20E+01,NA,NA,NA,NA,NA,NA,NA,NA,28.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
130,2000,Notre Dame,FBS Independents,16.3,NA,NA,3.88E+01,NA,NA,NA,NA,NA,NA,NA,NA,24.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
131,2000,Oregon,Pac-12,16.1,NA,NA,3.77E+01,NA,NA,NA,NA,NA,NA,NA,NA,23.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
132,2000,Georgia,SEC,16,NA,NA,3.50E+01,NA,NA,NA,NA,NA,NA,NA,NA,20.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
133,2000,Texas,Big 12,15.9,NA,NA,4.11E+01,NA,NA,NA,NA,NA,NA,NA,NA,28.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
134,2000,Clemson,ACC,15.7,NA,NA,4.11E+01,NA,NA,NA,NA,NA,NA,NA,NA,28.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
135,2000,TCU,Big 12,14.7,NA,NA,3.53E+01,NA,NA,NA,NA,NA,NA,NA,NA,21.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
136,2000,Wisconsin,Big Ten,14.7,NA,NA,3.42E+01,NA,NA,NA,NA,NA,NA,NA,NA,20.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
137,2000,Syracuse,ACC,13.8,NA,NA,3.42E+01,NA,NA,NA,NA,NA,NA,NA,NA,21.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
138,2000,Purdue,Big Ten,13.7,NA,NA,3.92E+01,NA,NA,NA,NA,NA,NA,NA,NA,27.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
139,2000,Northwestern,Big Ten,13.7,NA,NA,4.69E+01,NA,NA,NA,NA,NA,NA,NA,NA,36.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
140,2000,Western Michigan,Mid-American,13.4,NA,NA,3.03E+01,NA,NA,NA,NA,NA,NA,NA,NA,17.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
141,2000,Georgia Tech,ACC,13.4,NA,NA,3.78E+01,NA,NA,NA,NA,NA,NA,NA,NA,25.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
142,2000,Auburn,SEC,12.8,NA,NA,3.29E+01,NA,NA,NA,NA,NA,NA,NA,NA,21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
143,2000,Tennessee,SEC,12.2,NA,NA,3.72E+01,NA,NA,NA,NA,NA,NA,NA,NA,26.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
144,2000,Southern Mississippi,Conference USA,12.2,NA,NA,3.15E+01,NA,NA,NA,NA,NA,NA,NA,NA,20.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
145,2000,West Virginia,Big 12,12.2,NA,NA,4.13E+01,NA,NA,NA,NA,NA,NA,NA,NA,32,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
146,2000,East Carolina,American Athletic,11.9,NA,NA,3.68E+01,NA,NA,NA,NA,NA,NA,NA,NA,27.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
147,2000,Arizona,Pac-12,11.6,NA,NA,3.21E+01,NA,NA,NA,NA,NA,NA,NA,NA,21.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
148,2000,UCLA,Pac-12,11.6,NA,NA,4.08E+01,NA,NA,NA,NA,NA,NA,NA,NA,32.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
149,2000,LSU,SEC,11,NA,NA,3.21E+01,NA,NA,NA,NA,NA,NA,NA,NA,22.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
150,2000,Louisville,ACC,10.8,NA,NA,3.92E+01,NA,NA,NA,NA,NA,NA,NA,NA,30.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
